QueryPertID,GeneID,Symbol,Validation,Pct,pQSARCorr_r,NCI60_r,PSP_r,Probability_L,Probability_Q,Probability_LQ,Probability_NCI60,Probability_PSP
BRD-A00267231,135,ADORA2A,Known,0.2464,0.709,,,0.5319,0.883,0.9885,0.5,0.5
BRD-A00267231,136,ADORA2B,Known,0.1504,0.709,,,0.5878,0.883,0.9903,0.5,0.5
BRD-A00546892,1128,CHRM1,Known,0.6156,0.6704,,,0.3871,0.857,0.9683,0.5,0.5
BRD-A00546892,1131,CHRM3,Known,0.3225,0.6856,,,0.4973,0.8678,0.9819,0.5,0.5
BRD-A00546892,4128,MAOA,pQSAR,0.0088,0.6321,,,0.8117,0.8267,0.9866,0.5,0.5
BRD-A00827783,135,ADORA2A,Known,0.7333,0.7405,,,0.3409,0.9011,0.9871,0.5,0.5
BRD-A00827783,3269,HRH1,pQSAR,0.0024,0.6713,,,0.8748,0.8577,0.9948,0.5,0.5
BRD-A00827783,5144,PDE4D,Known,0.5605,0.7647,,,0.4073,0.9133,0.9927,0.5,0.5
BRD-A00993607,154,ADRB2,Known,0.0112,0.6963,,,0.7976,0.875,0.9945,0.5,0.5
BRD-A01078468,1111,CHEK1,pQSAR,0.0091,0.6479,,,0.8098,0.8398,0.9893,0.5,0.5
BRD-A01078468,1128,CHRM1,pQSAR,0.0013,0.6334,,,0.8976,0.8278,0.9923,0.5,0.5
BRD-A01078468,1131,CHRM3,pQSAR,0.004,0.6851,,,0.8525,0.8675,0.9952,0.5,0.5
BRD-A01078468,154,ADRB2,pQSAR,0.0071,0.7704,,,0.8236,0.9159,0.9984,0.5,0.5
BRD-A01078468,1645,AKR1C1,Known,0.0869,0.5696,,,0.642,0.7665,0.9358,0.5,0.5
BRD-A01078468,2099,ESR1,Known,0.0253,0.8608,,,0.7436,0.9492,0.9994,0.5,0.5
BRD-A01078468,2100,ESR2,Known,0.1086,0.8638,,,0.6208,0.9501,0.9992,0.5,0.5
BRD-A01078468,2155,F7,pQSAR,0.0101,0.6262,,,0.8037,0.8216,0.9847,0.5,0.5
BRD-A01078468,3269,HRH1,pQSAR,0.0008,0.7704,,,0.913,0.9159,0.9992,0.5,0.5
BRD-A01078468,5594,MAPK1,pQSAR,0.0038,0.6791,,,0.8549,0.8633,0.9948,0.5,0.5
BRD-A01078468,5743,PTGS2,pQSAR,0.0003,0.717,,,0.9378,0.8879,0.9986,0.5,0.5
BRD-A01078468,7296,TXNRD1,pQSAR,0.0076,0.6664,,,0.8199,0.8541,0.9923,0.5,0.5
BRD-A01145011,1786,DNMT1,Known,0.268,0.5791,,,0.5215,0.7765,0.9202,0.5,0.5
BRD-A01320529,154,ADRB2,Known,0.1175,0.7652,,,0.613,0.9135,0.9962,0.5,0.5
BRD-A01346607,1577,CYP3A5,StructureLikely,0.0314,0.8147,0.6781,,0.7276,0.9342,0.9988,0.7892,0.5
BRD-A01346607,190,NR0B1,StructureLikely,0.7446,0.5759,0.6781,,0.336,0.7732,0.8599,0.7892,0.5
BRD-A01346607,2908,NR3C1,Known,0.0005,0.8528,1.0,,0.9259,0.9469,0.9998,0.8919,0.5
BRD-A01346607,301,ANXA1,StructureLikely,0.0305,0.8158,0.6781,,0.7298,0.9346,0.9988,0.7892,0.5
BRD-A01346607,5243,ABCB1,pQSAR,0.0041,0.6029,0.1113,,0.8514,0.8002,0.9832,0.4822,0.5
BRD-A01346607,866,SERPINA6,StructureLikely,0.0015,0.8528,0.6832,,0.8927,0.9469,0.9997,0.7913,0.5
BRD-A01636364,6335,SCN9A,Known,0.0286,0.5219,,,0.7346,0.7118,0.9075,0.5,0.5
BRD-A01643550,2908,NR3C1,Known,0.0002,0.8328,,,0.946,0.9405,0.9998,0.5,0.5
BRD-A01643550,866,SERPINA6,Known,0.0068,0.8265,,,0.826,0.9384,0.9993,0.5,0.5
BRD-A02006392,1131,CHRM3,StructureLikely,0.0002,0.4826,,,0.946,0.6613,0.9563,0.5,0.5
BRD-A02180903,1577,CYP3A5,StructureSure,0.0161,0.7067,1.0,0.488,0.7747,0.8816,0.9948,0.8919,0.6606
BRD-A02180903,190,NR0B1,StructureSure,0.1611,0.5731,1.0,,0.5805,0.7703,0.9266,0.8919,0.5
BRD-A02180903,2099,ESR1,pQSAR,0.0083,0.7323,0.1906,,0.815,0.8967,0.9971,0.5308,0.5
BRD-A02180903,2908,NR3C1,Known,0.0005,0.8228,1.0,,0.9259,0.9371,0.9997,0.8919,0.5
BRD-A02180903,301,ANXA1,StructureSure,0.0417,0.8228,1.0,,0.7055,0.9371,0.9988,0.8919,0.5
BRD-A02180903,866,SERPINA6,StructureSure,0.0073,0.7686,0.7299,,0.8221,0.9151,0.9984,0.8096,0.5
BRD-A02367930,2099,ESR1,Known,0.3943,0.6808,1.0,,0.4684,0.8645,0.9788,0.8919,0.5
BRD-A02367930,2100,ESR2,Known,0.1833,0.6599,1.0,,0.5664,0.8492,0.9784,0.8919,0.5
BRD-A02759312,154,ADRB2,Known,0.0512,0.6426,,,0.6887,0.8355,0.9811,0.5,0.5
BRD-A02990301,150,ADRA2A,Known,0.1102,0.7932,,,0.6194,0.9258,0.9975,0.5,0.5
BRD-A02990301,775,CACNA1C,pQSAR,0.0083,0.6357,,,0.815,0.8297,0.9875,0.5,0.5
BRD-A03216249,6335,SCN9A,Known,0.7833,0.5685,,,0.3185,0.7654,0.8377,0.5,0.5
BRD-A03359064,154,ADRB2,Known,0.0083,0.6212,,,0.815,0.8171,0.9844,0.5,0.5
BRD-A03427350,231,AKR1B1,Known,0.2662,0.5522,,,0.5224,0.7474,0.8848,0.5,0.5
BRD-A03427350,5467,PPARD,Known,0.3936,0.6167,,,0.4686,0.8131,0.9457,0.5,0.5
BRD-A03427350,5743,PTGS2,Known,0.0776,0.6518,,,0.6524,0.8429,0.9814,0.5,0.5
BRD-A03623303,154,ADRB2,Known,0.1806,0.6689,,,0.568,0.8559,0.9812,0.5,0.5
BRD-A03816571,7852,CXCR4,Known,0.554,0.5888,,,0.4096,0.7864,0.9046,0.5,0.5
BRD-A04020513,3065,HDAC1,pQSAR,0.0015,0.6502,0.159,,0.8927,0.8416,0.9938,0.5115,0.5
BRD-A04020513,4313,MMP2,pQSAR,0.0022,0.6869,,,0.8783,0.8687,0.996,0.5,0.5
BRD-A04020513,5167,ENPP1,pQSAR,0.0039,0.7325,0.0421,,0.8537,0.8968,0.9977,0.44,0.5
BRD-A04352665,1577,CYP3A5,Known,0.4711,0.5666,,,0.4396,0.7633,0.8814,0.5,0.5
